mp3_title	youtube_title	used_query	youtube_url
Audio Edit _ MENINA DO JOB x VICIADA EM SENTAR DJ JUNIOR SALES - Slowed _aveeplayer _audioedit(MP3_160K)	𝙈𝙀𝙉𝙄𝙉𝘼 𝘿𝙊 𝙅𝙊𝘽 𝙭 𝙑𝙄𝘾𝙄𝘼𝘿𝘼 𝙀𝙈 𝙎𝙀𝙉𝙏𝘼𝙍 (𝙨𝙡𝙤𝙬𝙚𝙙 𝙩𝙤 𝙥𝙚𝙧𝙛𝙚𝙘𝙩𝙞𝙤𝙣)	Edit MENINA DO JOB x VICIADA EM SENTAR DJ JUNIOR SALES - Slowed aveeplayer audioedit	https://www.youtube.com/watch?v=ek9C9AkkhM8
Avijog (Slowed Reverb)❤️ Chill Version Tanveer  RT7 music 2  Youtube Channel Bengali Sad song(MP3_160K)	Jontrona (Slowed + Reverb)  Tanveer Evan | piran khan | Duranta Relax official	Avijog (Slowed Reverb)❤️ Chill Version Tanveer RT7 music 2 Youtube Channel Bengali Sad song(MP3_160K)	https://www.youtube.com/watch?v=_SRGOGVgHm4
Avijog - Tanveer Evan (Lofi Remix _ Lyrics) _ Tanveer Evan x Ahmed Sakib _ অভিযোগ Lyrics _ Lofi --(M4A_128K)	Avijog | অভিযোগ | Tanveer Evan | Mehazabien | Jovan | Piran | Official Drama Video | Bangla Song	Avijog - Tanveer Evan Tanveer Evan x Ahmed Sakib অভিযোগ Lofi --	https://www.youtube.com/watch?v=CzMLuLwuZ00
Bemax - SugarCrash_ 2 (Notice Me Senpai) extended [Lyrics](MP3_160K)	SugarCrash 2 Notice Me Senpai by BeMax - extend by #kholid312	Bemax - SugarCrash_ 2 (Notice Me Senpai) extended [Lyrics](MP3_160K)	https://www.youtube.com/watch?v=Ppgn7YEq0WY
Binks no sake (Sake de Binks)(Lo-Fi)(MP3_160K)	One Piece - Binks no sake (Feat UTA)	Binks no sake	https://www.youtube.com/watch?v=rIXjUM4pLIM
Black Clover - Opening 10 _ Black Catcher(MP3_160K)	Black Clover OP 10 Full ●Vickeblanka - Black Catcher● Sub Español |HD|	Black Clover - Opening 10 _ Black Catcher(MP3_160K)	https://www.youtube.com/watch?v=MITGJPpixBk
Blue X Until I Found You remix(MP3_160K)	Brad Arthur & Tokyo Project - Nyx (Official Audio)	Blue X Until I Found You remix(MP3_160K)	https://www.youtube.com/watch?v=aa5KVFSKACk
CUTE DEPRESSED(MP3_160K)	CUTE DEPRESSED (SLOWED Version)	CUTE DEPRESSED(MP3_160K)	https://www.youtube.com/watch?v=00GNSYmNi9Y
Charlie Puth - We Don't Talk Anymore (Lyrics) ft. Selena Gomez [MO6kDZckv5s]	WE DON'T TALK ANYMORE - ROBLOX MUSIC VIDEO	Charlie Puth - We Don't Talk Anymore (Lyrics) ft. Selena Gomez [MO6kDZckv5s]	https://www.youtube.com/watch?v=X0_WA6g_Pu0
Chere Jeyona _ Lofi_Remix _ Tanveer Evan _ অভিমান(MP3_160K)	Chere Jeyona X Oviman X Avijog X Ojanai ♪ Lo-Fi | Tanvir Evan Mashup |@AflameNabil| Bangla Lofi...	Chere Jeyona _ Lofi_Remix _ Tanveer Evan _ অভিমান(MP3_160K)	https://www.youtube.com/watch?v=6h6sCKjtooQ
